AboveState,WhitePopulation,Non_ENL,Paid_Lunch,Corp Type
1,0.9142857142857143,0.9899159663865547,0.7109243697478992,0
0,0.781651376146789,0.9889908256880734,0.5155963302752293,0
1,0.8665480427046264,0.9074733096085409,0.5177935943060499,0
1,0.7441793618855993,0.9784420810577752,0.7622880137970681,0
1,0.7683427398665983,0.9602360184710108,0.7560287326834274,0
0,0.35487296789477984,0.8512376439833347,0.37611306265827954,0
0,0.5732630130703967,0.8660857601467553,0.4771841320797982,0
1,0.6340644141474017,0.8557597312784034,0.5168938944872555,0
1,0.9041095890410958,0.9863013698630136,0.4726027397260274,0
0,0.8433908045977011,0.9339080459770115,0.4324712643678161,0
0,0.8768,0.9824,0.392,0
1,0.9341736694677871,0.9915966386554622,0.6302521008403361,0
1,0.7811111111111111,0.9741666666666666,0.9344444444444444,0
1,0.7415592387968079,0.9232658072437078,0.52731737262124,0
1,0.9439775910364145,0.9971988795518207,0.5210084033613446,0
0,0.8978723404255319,0.9808510638297873,0.4425531914893617,0
0,0.8730703259005146,0.9519725557461407,0.4614065180102916,0
0,0.8990147783251231,0.9802955665024631,0.4753694581280788,0
0,0.8480392156862745,0.9673202614379085,0.46895424836601307,0
0,0.38883143743536713,0.6385729058945191,0.33712512926577043,0
0,0.929757343550447,0.9948914431673053,0.6245210727969349,0
1,0.8110566829951015,0.9419174247725682,0.642407277816655,0
0,0.5990359333917616,0.9535495179666958,0.41060473269062225,0
0,0.5418579234972678,0.9057923497267759,0.43038251366120217,0
1,0.9299830604178431,0.9966120835686053,0.4246188594014681,0
1,0.8943089430894309,0.967479674796748,0.4742547425474255,0
1,0.9022140221402214,0.985239852398524,0.5018450184501845,0
0,0.4133949191685912,0.7105465742879138,0.022324865280985373,0
1,0.9094922737306843,0.9933774834437086,0.673289183222958,0
1,0.9666666666666667,0.9962962962962963,0.37777777777777777,0
1,0.9556451612903226,1.0,0.6854838709677419,0
0,0.9258517034068137,0.9659318637274549,0.5230460921843687,0
0,0.6536675951717734,0.819870009285051,0.4818941504178273,0
1,0.9593846153846154,0.9938461538461538,0.7809230769230769,0
0,0.9510403916768666,0.9938800489596084,0.49938800489596086,0
0,0.8710433763188745,0.9871043376318874,0.5967174677608441,0
1,0.9493670886075949,1.0,0.46582278481012657,0
1,0.9150401836969001,0.9804822043628014,0.46153846153846156,0
0,0.9392857142857143,0.9964285714285714,0.4714285714285714,0
0,0.9116022099447514,0.994475138121547,0.4544198895027624,0
1,0.9045751633986928,0.984967320261438,0.5450980392156862,0
1,0.8994845360824743,0.9965635738831615,0.48109965635738833,0
0,0.9331619537275064,0.9845758354755784,0.45758354755784064,0
1,0.9122486288848263,1.0,0.9835466179159049,0
0,0.893048128342246,0.9919786096256684,0.4572192513368984,0
1,0.8303571428571429,0.9866071428571429,0.6413690476190477,0
0,0.9319148936170213,0.9914893617021276,0.42127659574468085,0
0,0.5526075022872827,0.9670631290027447,0.39615736505032023,0
1,0.935672514619883,1.0,0.7368421052631579,0
1,0.9430147058823529,0.9816176470588235,0.7077205882352942,0
1,0.5851680185399768,0.7717265353418308,0.46349942062572425,0
1,0.7449757449757449,0.8898128898128899,0.6264726264726265,0
1,0.8928571428571429,0.8956766917293233,0.7020676691729323,0
1,0.7502930832356389,0.9308323563892146,0.813599062133646,0
0,0.36109936575052853,0.6824524312896406,0.35095137420718814,0
1,0.843445287107259,0.929035752979415,0.6310942578548212,0
1,0.8353658536585366,0.9466463414634146,0.6189024390243902,0
0,0.36034519048621344,0.774573773942328,0.37423700273626603,0
0,0.3464100666173205,0.691339748334567,0.32790525536639525,0
0,0.9358081979891725,0.9945862335653519,0.3271461716937355,0
1,0.7371462734157035,0.9732961339178956,0.6367078517337584,0
0,0.9043478260869565,0.9652173913043478,0.4043478260869565,0
1,0.9033942558746736,0.9843342036553525,0.5796344647519582,0
0,0.8862660944206009,0.9656652360515021,0.4957081545064378,0
0,0.9755501222493888,0.9975550122249389,0.5354523227383863,0
0,0.8918518518518519,0.9822222222222222,0.48,0
0,0.9260204081632653,0.9923469387755102,0.3673469387755102,0
0,0.9333333333333333,0.9873015873015873,0.3746031746031746,0
0,0.8081180811808119,0.972939729397294,0.4784747847478475,0
1,0.9238410596026491,0.9867549668874173,0.6986754966887417,0
1,0.8954344624447718,0.9955817378497791,0.5508100147275405,0
0,0.7513227513227513,0.9915343915343915,0.5195767195767196,0
0,0.8032786885245902,0.9948770491803278,0.28790983606557374,0
0,0.4425770308123249,0.9425770308123249,0.2542016806722689,0
0,0.9395465994962217,1.0,0.49622166246851385,0
0,0.9572815533980582,1.0,0.4893203883495146,0
1,0.9496644295302014,0.9916107382550335,0.5788590604026845,0
0,0.9523809523809523,1.0,0.43223443223443225,0
1,0.9166666666666666,0.9866666666666667,0.46,0
1,0.6455243504785947,0.9258441148627328,0.8009887451351636,0
1,0.9260326609029779,0.9846301633045149,0.6340057636887608,0
1,0.7405119152691968,0.9382171226831421,0.8016328331862312,0
0,0.9040307101727447,0.9769673704414588,0.5393474088291746,0
1,0.6587715776796468,0.9400508497256791,0.8734109460725278,0
1,0.7704545454545455,0.9285123966942149,0.7264462809917356,0
1,0.886568848758465,0.9841986455981941,0.7375846501128668,0
1,0.8374200426439232,0.9770788912579957,0.5389125799573561,0
1,0.7052919708029197,0.9612226277372263,0.656478102189781,0
1,0.9581818181818181,0.9945454545454545,0.6290909090909091,0
1,0.9542682926829268,0.9969512195121951,0.7225609756097561,0
1,0.9442586399108138,1.0,0.48606465997770343,0
1,0.8801498127340824,0.9775280898876404,0.4898876404494382,0
1,0.876905041031653,0.9859320046893317,0.7608440797186401,0
1,0.6069388618574149,0.9344192934207742,0.6600380791199493,0
1,0.4842780306164667,0.8537443111294993,0.5378568473314026,0
1,0.8104838709677419,0.9540322580645161,0.6596774193548387,0
1,0.7298961138899577,0.9342054636398615,0.6313966910350135,0
1,0.9123630672926447,0.9702660406885759,0.6697965571205008,0
0,0.927038626609442,0.9957081545064378,0.48068669527896996,0
0,0.925207756232687,0.9916897506925207,0.4487534626038781,0
1,0.9315068493150684,0.9948630136986302,0.541095890410959,0
0,0.850040749796251,0.9853300733496333,0.45232273838630804,0
0,0.9362637362637363,0.9956043956043956,0.5208791208791209,0
0,0.6679920477137177,0.9840954274353877,0.48906560636182905,0
1,0.9024970273483948,0.9964328180737217,0.6646848989298454,0
1,0.8954607977991746,1.0,0.5405777166437414,0
1,0.8264680105170903,0.9851007887817704,0.5933391761612621,0
0,0.542594385285576,0.9849951597289448,0.3606001936108422,0
0,0.8991750687442713,0.9830430797433547,0.4848762603116407,0
0,0.8688524590163934,0.9672131147540983,0.36065573770491804,0
0,0.4711183941007784,0.6644817697664891,0.4760344121261778,0
0,0.947098976109215,0.9880546075085325,0.49829351535836175,0
0,0.9203980099502488,0.9850746268656716,0.417910447761194,0
1,0.8146582100070472,0.9422128259337562,0.5193798449612403,0
1,0.821939586645469,0.9411764705882353,0.5596184419713831,0
1,0.8950524737631185,0.9437781109445277,0.4070464767616192,0
1,0.888996138996139,0.9816602316602316,0.47876447876447875,0
0,0.8803738317757009,0.9532710280373832,0.37570093457943926,0
0,0.885878962536023,0.9619596541786744,0.3452449567723343,0
1,0.5940625,0.874375,0.4715625,0
1,0.7564559216384684,0.9545859305431879,0.7410952804986642,0
0,0.8579387186629527,0.9442896935933147,0.27019498607242337,0
1,0.8471514590088004,0.9740620657711904,0.4997684113015285,0
1,0.6864,0.9349333333333333,0.4245333333333333,0
1,0.9298618490967057,0.997874601487779,0.6716259298618491,0
0,0.8991304347826087,0.9773913043478261,0.41739130434782606,0
0,0.9596491228070175,0.9982456140350877,0.6280701754385964,0
0,0.855973813420622,0.9566284779050737,0.45499181669394434,0
0,0.8725573491928632,0.9694137638062872,0.453695836873407,0
